gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
FSTL1	382340	375	23	196308	46872	560700	1	1	2	19	25	13007484	5.571963e-02	1
AMBRA1	880494	212	45	712656	218484	902664	4	0	1	11	9	6295128	5.583363e-02	1
HDAC5	923807	171	32	674520	200424	965916	3	1	2	42	53	27259596	5.583894e-02	1
RAP1GAP2	518031	418	12	453852	123480	729540	3	2	2	15	24	8833524	5.588837e-02	1
COL7A1	1386275	212	37	1754508	590100	3395196	11	2	10	9	25	9907464	5.595879e-02	1
FRG1	49764	1059	-15	166656	37716	371952	2	0	2	46	79	25851756	5.607832e-02	1
FUBP3	529622	192	35	355656	95676	835128	3	1	4	11	19	7358064	5.612763e-02	1
TIE1	1091212	264	30	677040	206724	908460	4	1	0	18	21	10688328	5.614761e-02	1
EIF4EBP2	551720	338	46	73248	20244	107856	2	1	0	5	8	2879184	5.614796e-02	1
SCGN	260299	630	23	177996	41496	637560	2	1	1	50	49	25389084	5.616375e-02	1
CBFA2T3	967879	252	41	385308	120204	269136	3	1	1	18	35	12187980	5.630654e-02	1
APOA1BP	2049505	180	37	171696	52332	241164	1	0	1	34	40	18618768	5.633995e-02	1
IGFBPL1	234360	688	16	159600	55860	150444	1	0	0	50	59	24221148	5.637005e-02	1
CPNE1	1423559	169	53	371616	104916	622692	4	0	0	10	8	5195064	5.643519e-02	1
OR5K3	416592	885	-4	190680	52500	21420	2	0	0	11	6	6346872	5.656981e-02	1
TRAK1	313554	321	29	643608	189504	933156	4	1	0	4	11	3805368	5.660207e-02	1
CCDC107	1202125	248	37	166572	52416	97272	3	0	0	50	59	25931136	5.677148e-02	1
FETUB	508316	436	45	228732	67368	368172	1	1	0	50	82	39555684	5.684386e-02	1
LRP2	420134	683	14	2881536	717024	4180680	13	5	7	7	18	8635704	5.684993e-02	1
CUL5	421044	572	14	492156	116424	768348	2	1	2	15	19	12137832	5.686753e-02	1
PCYT1B	424049	NaN	31	248724	63252	379512	1	0	0	42	45	25606560	5.687793e-02	1
ZNF205	1626425	234	44	329532	97104	242928	2	1	0	50	66	22907892	5.695654e-02	1
KRTAP13-2	4608	1035	-69	101808	31752	65520	1	0	0	50	70	14726460	5.702067e-02	1
MKI67	408820	641	-1	1917468	558936	687456	8	1	1	16	7	8183364	5.705637e-02	1
MED30	139000	574	0	108696	29652	236628	2	0	0	21	42	11422236	5.710999e-02	1
TP73	249590	288	20	405216	99792	418068	3	0	2	21	25	12352872	5.727140e-02	1
C9orf163	1413299	233	44	114492	39732	1764	1	0	0	21	47	12294240	5.729933e-02	1
RNF165	452638	289	33	209832	60060	297360	1	0	2	42	53	24190320	5.743241e-02	1
WSB2	639801	584	-3	246036	68712	415296	2	0	0	35	34	25256028	5.747085e-02	1
PRR4	365490	676	5	103320	29736	1583064	2	0	0	3	0	1792308	5.752374e-02	1
UBAC1	753354	352	37	248136	67872	421344	2	0	0	1	1	903840	5.760830e-02	1
PGLYRP3	836876	556	24	207144	58464	423612	2	0	2	38	81	22677900	5.767784e-02	1
PTPLA	488883	383	4	175560	49476	265860	3	0	0	50	56	29729784	5.778664e-02	1
C18orf32	236267	352	55	48048	12180	249228	1	0	0	50	43	24194436	5.789429e-02	1
HOXC9	1257445	274	23	153468	45360	84924	1	1	0	30	44	12608316	5.796749e-02	1
MEPCE	1479297	186	60	392028	132636	131796	2	0	0	50	44	24617796	5.810002e-02	1
CASP14	990597	524	16	148848	40404	169848	2	1	0	16	10	6019356	5.815959e-02	1
MAML2	272830	409	6	684936	193788	146664	3	1	0	50	57	26504352	5.816379e-02	1
RDH5	1814311	384	26	182616	62580	258048	2	0	0	50	42	24440388	5.823488e-02	1
SLC27A3	1687837	175	33	420504	141708	620928	2	0	1	10	15	8448132	5.825292e-02	1
ACBD5	383472	555	36	329532	80220	558684	2	0	2	50	60	25779432	5.835417e-02	1
FAR1	171781	639	-7	318276	82908	542052	3	3	1	38	92	25824876	5.844028e-02	1
PAX9	55912	494	-39	197652	63924	98532	3	1	0	50	66	23140572	5.851268e-02	1
C10orf140	128481	409	22	525420	161784	14364	7	3	0	4	6	993888	5.852528e-02	1
MERTK	NaN	NaN	NaN	606060	168084	1301076	4	1	4	39	125	45249624	5.852575e-02	1
C4orf35	264684	915	25	231084	68796	34776	3	0	0	50	59	27776616	5.856208e-02	1
NPSR1	106021	949	0	249144	68124	1003716	1	0	0	10	8	8000160	5.864794e-02	1
CSPP1	353616	640	25	785148	195888	1743840	3	0	1	12	10	10638936	5.867064e-02	1
MYH4	77401	731	-50	1202964	302484	1640268	4	1	0	3	5	7405524	5.869897e-02	1
CD276	312591	374	29	316428	97104	283500	3	0	1	28	32	15088080	5.870758e-02	1
NKX2-2	283479	694	-10	158676	49476	66780	1	0	0	29	38	14948220	5.871467e-02	1
SLC5A4	498785	580	-34	399504	114576	648648	2	1	0	30	12	10564176	5.881585e-02	1
OR8K1	10293	963	-36	186984	54432	12348	3	0	0	50	67	21853020	5.882396e-02	1
CAB39	503356	395	29	215208	51408	451584	2	1	0	25	27	17570448	5.897350e-02	1
RILP	1361271	198	27	235284	75684	307440	2	0	0	31	57	20485836	5.902024e-02	1
SLC25A33	749351	268	33	192360	57120	424116	1	0	0	17	25	10925040	5.906052e-02	1
LNP1	376655	410	13	110964	27384	176904	1	1	0	13	32	7964208	5.907307e-02	1
PFKFB1	244981	NaN	0	293664	76776	448056	2	1	1	38	92	29889216	5.910368e-02	1
ALKBH7	943949	407	31	127260	44100	119196	2	0	0	50	62	25420584	5.910503e-02	1
PRMT6	75609	921	-16	215292	69468	0	2	0	0	50	73	22617924	5.912685e-02	1
OTOL1	236814	792	-13	281484	82404	68796	2	0	1	28	31	9472596	5.921433e-02	1
LIX1L	NaN	NaN	NaN	198324	62748	313488	1	0	0	50	154	57979488	5.924514e-02	1
NAA15	389880	299	26	548352	126252	837648	3	0	1	19	25	10795680	5.931366e-02	1
SFMBT2	169112	363	12	548688	148092	1080072	4	1	2	10	9	5130384	5.938238e-02	1
OR6Q1	NaN	NaN	NaN	182784	57372	33012	1	0	0	50	154	57693636	5.941364e-02	1
DCDC2	362257	711	-12	315924	79464	519120	2	0	0	7	3	2672208	5.951768e-02	1
C17orf79	668593	374	12	113400	29484	213192	2	0	0	48	43	20568996	5.976575e-02	1
ZNF880	526380	960	-32	353640	86856	73080	6	1	0	32	32	11478516	5.978602e-02	1
LHCGR	75021	934	-16	419244	120540	545328	4	2	2	50	87	26143824	5.979492e-02	1
TPI1	2822601	232	32	174384	49140	443268	1	1	0	17	20	8974980	5.984542e-02	1
CHCHD6	250457	604	39	146160	39816	476028	1	0	2	35	72	20768244	5.985708e-02	1
TTN	172693	713	23	21878136	6206508	11445084	71	26	6	1	33	18110148	5.987859e-02	1
METTL14	238966	636	31	282828	72744	444276	2	0	0	12	4	5076456	5.989144e-02	1
NOS1AP	372116	410	2	315000	90468	522900	1	1	1	50	44	28641228	5.989567e-02	1
GOLT1B	518837	836	-23	85848	23268	303408	1	0	1	16	22	5486124	5.990043e-02	1
ANO7	1333138	317	35	578340	169848	777168	4	3	5	8	14	3905328	5.992776e-02	1
GPR50	215822	NaN	-7	358848	109872	115920	2	1	0	7	10	7911540	6.004430e-02	1
LTB4R2	915114	220	38	197820	77616	96516	1	1	0	50	65	25149012	6.008612e-02	1
C2orf84	320978	385	35	129276	32256	198072	2	0	0	37	44	21550284	6.008836e-02	1
TOR1AIP1	470940	364	5	351372	99204	415800	3	0	0	50	58	32246004	6.017929e-02	1
DHX38	414449	479	9	748944	205632	1005732	4	0	1	3	2	3157140	6.052718e-02	1
NOP2	2764720	179	42	485100	141624	480060	3	0	2	20	24	13672428	6.057356e-02	1
ECE1	744763	196	27	501564	137004	777420	2	0	3	50	58	31449012	6.064375e-02	1
SPIRE1	483118	292	49	461412	127512	873684	2	1	0	20	17	10046148	6.064947e-02	1
ENY2	135626	732	20	66528	15120	311220	1	0	0	24	28	15688932	6.069204e-02	1
MTHFD1	640692	221	45	572628	162204	1280412	4	0	4	10	10	7574028	6.069821e-02	1
TRAT1	107009	961	-15	118860	27552	365400	1	0	2	8	18	5284356	6.072056e-02	1
LYST	438216	401	9	2315208	610512	2517228	11	3	1	11	20	10301760	6.077165e-02	1
FAM181A	242993	645	15	204204	65184	104328	3	0	0	50	79	33725244	6.080828e-02	1
SLC25A25	1898149	195	32	379260	109620	522396	2	0	0	24	29	14293440	6.087713e-02	1
C18orf34	13428	1050	-27	553056	124320	663768	2	0	1	10	2	3887772	6.089805e-02	1
C7orf64	750974	369	28	223356	59388	164304	1	0	0	50	49	26971812	6.090409e-02	1
SFRS11	296676	445	-11	293328	85428	714924	2	0	1	14	17	8210160	6.106241e-02	1
AP3B1	262852	592	40	675024	179004	1164492	5	3	2	11	29	6426000	6.112370e-02	1
CCR4	511282	469	17	212436	61488	40320	1	0	0	50	59	21102900	6.119381e-02	1
SFRS7	850854	184	26	142800	44940	461412	2	0	1	50	42	25325580	6.120039e-02	1
HSPB9	2171374	206	37	91728	29736	180936	2	0	0	36	47	14131992	6.126619e-02	1
SNRPE	527029	280	26	61236	13608	284004	1	0	0	50	46	21314328	6.132346e-02	1
IL5RA	59117	1039	-15	266364	68040	494424	2	0	0	8	10	4143804	6.139466e-02	1
MLKL	586358	173	30	299964	74760	556920	2	0	1	50	59	26273688	6.141402e-02	1
P4HA3	641945	201	37	327516	97104	681912	2	0	0	5	7	4019064	6.175665e-02	1
SOX2	39313	1104	-14	185724	54684	0	1	0	0	50	99	34647060	6.179831e-02	1
GSTO2	293891	376	8	149940	39564	353052	2	0	1	50	70	26278476	6.189634e-02	1
SGSM3	469297	355	56	455784	131376	719712	3	0	4	49	69	27822480	6.198817e-02	1
CRHR2	484075	433	32	253428	69132	416556	2	0	0	5	4	2326632	6.210230e-02	1
UBAP2L	1841112	185	32	665196	196644	1594908	3	2	1	4	11	4292652	6.216527e-02	1
STXBP5	94997	696	-5	706188	191940	1073268	5	1	0	5	7	3833424	6.217496e-02	1
LRFN2	100435	887	20	449064	150192	83916	3	0	0	6	8	5511324	6.219885e-02	1
HELLS	251937	675	12	527604	127848	860328	3	1	1	17	11	6477492	6.221063e-02	1
KIAA1539	1108514	411	41	307944	106596	157248	2	0	0	50	68	24312540	6.234413e-02	1
TECRL	2644	1049	-22	229236	57036	426384	4	0	4	14	24	6535032	6.251783e-02	1
SLC13A5	800049	424	7	340368	101388	505008	3	0	0	14	8	7232316	6.255216e-02	1
FAAH2	91305	NaN	-6	322812	90216	1095444	2	2	2	34	71	25199496	6.262798e-02	1
RNF128	149556	NaN	17	335832	97356	376236	2	0	0	31	29	14130312	6.266069e-02	1
KRTAP6-2	22916	1048	-79	37548	9828	91224	1	0	0	50	64	17374560	6.270618e-02	1
OLFML2A	1076828	207	26	385476	115248	227808	5	0	1	41	64	22811292	6.273253e-02	1
GCNT3	521844	172	33	262500	70392	71820	2	0	0	50	75	32152428	6.278690e-02	1
THAP2	259684	393	-11	139020	36120	237384	2	1	0	50	58	27336876	6.281806e-02	1
BRD1	644644	276	-18	630924	180768	560700	5	1	1	50	84	28200312	6.299304e-02	1
GLA	374364	NaN	37	263592	68040	335916	1	0	0	12	8	7428036	6.300510e-02	1
GLT25D2	348183	732	11	379680	105420	647640	2	1	1	50	75	29677284	6.303584e-02	1
MC4R	44259	929	3	195972	56280	19404	1	0	0	50	51	18355260	6.303748e-02	1
PBX4	818567	284	-1	224952	65856	388332	1	0	0	9	6	5930232	6.311270e-02	1
PSME1	974559	220	41	176064	44184	310212	1	0	2	14	20	8610084	6.315459e-02	1
LYPD5	464802	286	11	149520	45528	127764	3	0	0	50	85	31045140	6.316631e-02	1
EDARADD	482656	589	11	142884	34272	718200	2	0	2	9	16	7306824	6.318212e-02	1
ODF4	772200	257	20	154728	42336	145656	3	0	0	50	53	22896720	6.335503e-02	1
C1orf49	341211	348	-10	174216	41244	385056	1	0	0	49	69	27485472	6.341855e-02	1
BRD3	495575	398	40	436632	123060	414036	3	1	2	4	10	2880612	6.345571e-02	1
GLP1R	188770	730	34	283920	79464	537768	4	0	3	6	14	5340384	6.347601e-02	1
RAB40B	855855	243	21	165228	50736	268128	3	0	0	50	60	23583504	6.366946e-02	1
MLEC	1741363	349	42	173796	51744	234360	1	0	2	50	64	21316428	6.376057e-02	1
NONO	728362	NaN	26	290640	76272	278460	2	0	1	50	80	33387900	6.380251e-02	1
GABRQ	203033	NaN	-1	382368	105252	540792	3	1	1	11	6	4024356	6.383435e-02	1
CYP4B1	658240	475	8	314244	85176	555660	2	1	0	22	23	12905256	6.385366e-02	1
CHST15	149497	632	19	341880	89040	301644	2	0	1	50	67	26329212	6.388681e-02	1
BCAP29	512690	753	26	222012	49896	493668	1	0	1	42	45	20533380	6.390938e-02	1
STYX	310977	213	19	147336	33096	502236	1	0	3	25	35	11092788	6.396263e-02	1
TMEM74	275834	891	-14	178920	53424	40320	2	0	0	50	64	24642408	6.407566e-02	1
TOB2	1480984	187	73	200340	61488	77616	1	0	0	50	47	19468932	6.409045e-02	1
TEX14	735964	268	13	918792	241164	2189628	5	0	4	1	4	3479952	6.409257e-02	1
PCOLCE2	398812	422	15	253596	68964	599508	1	0	0	8	4	5687892	6.411704e-02	1
DLAT	403342	179	27	384216	118776	750960	4	0	1	27	49	23776284	6.412780e-02	1
PPIB	743794	251	43	131124	36960	271152	2	0	0	14	13	5864460	6.418501e-02	1
NBPF7	415110	581	26	260988	64848	502488	1	1	1	50	72	29099700	6.430922e-02	1
ZNF471	135553	817	-69	389256	88788	174384	3	0	2	7	9	2930256	6.441387e-02	1
VWA2	290609	437	21	424200	135744	706104	5	1	0	6	3	3085152	6.446804e-02	1
ANXA13	492587	192	12	223776	58464	760032	2	0	0	17	11	8886864	6.450876e-02	1
LGR4	345497	337	-18	577164	159684	890064	3	0	3	50	76	31720836	6.458616e-02	1
OR51Q1	99042	1030	1	183876	57540	33768	4	1	0	25	26	7734636	6.460889e-02	1
ALDH9A1	321831	408	0	313488	88956	659736	1	0	1	50	48	33034092	6.470939e-02	1
ACTR1B	362146	520	25	228732	66360	442512	1	0	1	50	69	33069372	6.481252e-02	1
IGDCC3	646843	280	40	473592	155652	581868	4	0	1	3	5	1887732	6.483338e-02	1
LAMP3	296133	596	24	244272	76020	337680	1	0	0	41	51	28926744	6.490172e-02	1
FIZ1	1077402	254	-10	279888	97860	45108	2	0	0	50	61	20757492	6.492544e-02	1
SF3A3	445132	232	42	320460	75180	782460	4	0	1	37	51	18733428	6.495644e-02	1
USP25	74958	477	30	659652	161868	950292	4	1	1	2	7	2574012	6.505283e-02	1
CHRNA9	442913	347	53	289296	78120	296352	2	2	0	50	65	27147540	6.510393e-02	1
GBP5	379427	834	-4	360948	92904	515340	3	0	1	9	6	3078852	6.516781e-02	1
KLC4	1239021	301	42	397656	116676	773640	2	1	0	24	29	15436932	6.519225e-02	1
GPR174	14321	NaN	62	197316	55692	43848	2	0	0	50	64	31896648	6.519581e-02	1
WTAP	643775	604	19	244608	63084	321804	1	1	0	50	54	24468528	6.523790e-02	1
CDCP2	465615	313	26	262080	81144	141624	1	0	0	50	51	30827916	6.527639e-02	1
VAMP2	1381225	202	37	72828	20160	176652	1	0	1	50	83	35464800	6.528087e-02	1
NAA11	103025	821	-5	138432	36456	19152	2	0	0	50	82	26078724	6.529070e-02	1
CNOT1	660382	191	8	1495956	404376	2512692	4	1	3	10	15	9755592	6.531384e-02	1
IQSEC1	516922	406	48	678048	207480	550620	4	2	0	23	42	12038460	6.542707e-02	1
VEPH1	202651	739	5	533904	138432	838656	4	2	2	44	81	25450908	6.558375e-02	1
EXOSC5	1148529	249	36	139440	44520	300888	2	0	0	15	12	6458676	6.576305e-02	1
EIF3B	795806	251	43	504756	130032	964908	4	0	2	17	16	9344496	6.576310e-02	1
SLCO2A1	547213	487	21	386064	113904	642600	2	0	2	33	37	17823540	6.578150e-02	1
FAS	187494	375	39	212268	50820	555660	1	1	1	50	75	29238216	6.612067e-02	1
ELAVL2	7648	719	-40	218568	59640	374220	2	0	1	20	54	11895408	6.632703e-02	1
FAM124B	310772	460	12	284424	84756	49644	1	0	0	50	44	24947664	6.637105e-02	1
GUF1	62787	1009	2	410172	112476	795060	3	1	1	17	26	9674196	6.639059e-02	1
KLRC4	378365	334	0	98364	24864	203112	2	0	0	50	67	32712036	6.646283e-02	1
HIST1H4L	228884	634	40	58968	20412	25704	1	0	0	50	69	22156764	6.654736e-02	1
CDK4	1160849	344	39	180600	56280	329364	2	0	1	50	54	25847388	6.665577e-02	1
MRAP2	54672	813	-16	125580	33180	175392	2	0	0	7	4	3051888	6.667878e-02	1
ABLIM1	267957	257	13	514164	135240	1420524	3	0	1	5	3	3462816	6.678232e-02	1
PNPLA1	839966	358	30	317520	99288	347256	3	1	1	50	66	27072276	6.679044e-02	1
IGF2R	653159	460	18	1519560	411768	2488500	5	1	3	1	4	4295508	6.681594e-02	1
EIF2A	436939	347	24	362460	94164	403956	2	1	0	50	65	26360376	6.683608e-02	1
ATF2	347113	641	24	306600	88032	572544	2	0	0	9	2	5911668	6.687357e-02	1
C2orf53	1214097	238	50	229488	82740	36036	1	0	0	50	66	33222924	6.694960e-02	1
KLHL28	228561	481	-22	341376	94584	215208	2	0	0	9	33	11345124	6.702295e-02	1
TCAP	1284992	226	38	98112	30408	148680	1	1	0	11	11	3033744	6.706095e-02	1
BAGE2	NaN	NaN	NaN	71316	20412	906444	1	0	0	2	0	2053800	6.707787e-02	1
SPRED3	1467279	253	0	241248	84588	161280	2	0	0	34	41	11556720	6.715654e-02	1
LPAR1	247269	624	21	215796	62412	162036	2	1	0	50	56	25386648	6.717791e-02	1
MCOLN3	425053	623	4	346836	84084	485856	2	1	2	22	28	9874872	6.725027e-02	1
FAM177B	221712	236	-4	100800	23436	222768	2	0	1	50	110	26950644	6.735456e-02	1
GIMAP4	563029	671	24	198492	53004	86184	2	0	0	50	57	22753080	6.736325e-02	1
IRAK1BP1	198307	832	-13	155568	44772	150696	3	0	0	4	3	2787876	6.743241e-02	1
SLC39A1	2028800	222	34	181776	66948	293832	3	1	1	40	48	18802728	6.752608e-02	1
FANCM	234454	565	8	1253280	318444	943740	5	1	0	2	1	2338476	6.752776e-02	1
VRK2	198322	479	8	329112	79380	700056	2	0	1	30	34	18853968	6.772501e-02	1
LHFPL3	324628	895	5	140028	41160	540288	2	0	0	2	2	2648436	6.776144e-02	1
DEFB116	562665	594	-29	63504	15120	106596	1	0	0	50	37	16419732	6.777834e-02	1
DEFB136	467502	451	22	48048	12180	116676	1	1	0	11	13	5613552	6.781261e-02	1
LUM	23173	523	-18	201852	56448	84420	1	0	0	50	60	20856780	6.781682e-02	1
VTI1A	232217	459	7	136836	35028	382536	1	0	0	5	0	2011632	6.782388e-02	1
LYPD1	46944	848	8	86268	23100	165816	1	0	1	47	56	25461912	6.786816e-02	1
EEF1A2	1262904	298	54	277032	80808	208404	3	1	3	9	12	1947372	6.787098e-02	1
WDR75	413405	503	12	518868	130032	1017324	2	0	2	11	8	7125972	6.793643e-02	1
ZBP1	181790	562	-4	273336	77700	327852	3	0	2	40	77	18990636	6.795673e-02	1
LMAN1	292594	549	35	317100	81816	539028	3	0	0	2	2	1891764	6.812072e-02	1
TSEN15	372562	761	8	109620	28980	197568	2	0	1	50	73	31292940	6.812872e-02	1
CCDC19	803074	403	7	343140	85764	755496	3	0	0	8	2	4660404	6.814420e-02	1
MAGT1	549266	NaN	20	227136	60648	492408	1	0	0	13	16	8817984	6.824075e-02	1
C1orf109	445023	375	27	122976	35280	243432	2	0	1	39	45	21012432	6.834715e-02	1
MANBA	379516	303	32	542556	139356	1682604	3	1	0	0	1	1821960	6.835171e-02	1
OXNAD1	188483	517	34	190764	52920	409752	3	0	0	26	29	15068088	6.841202e-02	1
AFAP1	166375	260	38	492744	140532	737604	3	3	0	24	44	17037132	6.842989e-02	1
MCAT	624112	241	48	229656	69468	140112	3	1	0	50	78	30365160	6.852854e-02	1
C1orf201	748641	197	26	176148	48132	397656	2	0	1	44	49	26519724	6.853385e-02	1
OPHN1	186481	NaN	-13	503328	127932	1240596	2	0	2	19	18	11683476	6.854781e-02	1
C1orf14	757638	424	20	395220	108276	562716	2	0	0	9	15	7247688	6.855805e-02	1
LRIT2	216191	860	-17	319452	99624	117432	2	1	0	50	85	28736820	6.865217e-02	1
SYVN1	3292261	168	50	369096	113232	401940	3	1	3	22	24	9721320	6.875798e-02	1
PCDHB4	915569	724	-11	453684	148092	35280	3	1	0	36	27	12133884	6.879067e-02	1
PVRL3	79394	878	-15	326424	94416	131796	2	0	0	45	65	23712528	6.883277e-02	1
H1FNT	809696	412	16	145068	48468	13104	3	0	0	50	68	25493916	6.895882e-02	1
RIC8A	1463610	437	24	318192	97608	354312	3	1	0	8	6	3025260	6.901567e-02	1
ZDHHC19	1042183	210	51	185304	56112	202860	1	0	0	50	64	21936936	6.906388e-02	1
TSNAX	291493	439	14	180936	44100	333648	2	0	0	41	54	25076100	6.906864e-02	1
ARMCX6	329999	NaN	8	178584	48972	17388	2	0	0	50	70	30117696	6.908209e-02	1
MON1B	60048	1058	-19	312816	106512	225036	2	1	0	50	68	22997940	6.913153e-02	1
ACVR1B	493265	371	27	330036	93072	459648	1	0	0	33	19	14579124	6.917515e-02	1
IFT81	1034390	181	52	452004	105672	719460	4	0	4	50	48	23354688	6.918702e-02	1
FTMT	70878	920	-16	140952	43260	71820	2	0	0	50	67	22563660	6.921066e-02	1
ACTA2	181406	267	30	230916	62916	630252	2	1	0	18	19	12286344	6.924788e-02	1
SPAST	378148	197	28	375060	107520	682164	2	0	0	2	5	3602508	6.936837e-02	1
OR52A5	109516	1024	-15	184968	54432	18144	1	0	0	50	56	22352736	6.945397e-02	1
SLC30A1	380154	236	22	294840	90216	79380	1	0	0	50	62	27582324	6.953165e-02	1
SHROOM1	718028	356	58	481740	170184	182952	4	0	1	50	50	26440680	6.956857e-02	1
DMBX1	592811	255	23	222348	70728	140112	1	1	0	50	41	20462232	6.967367e-02	1
C2orf29	413646	262	19	302652	90216	265608	1	1	0	50	62	28100688	6.970854e-02	1
SGTA	1354357	291	25	197652	50820	248724	1	1	0	50	63	22104600	6.975226e-02	1
CELF4	55294	588	-11	301728	78540	341460	3	1	0	50	72	31817604	6.981582e-02	1
TCP1	648197	420	22	337428	94752	838404	4	0	0	17	22	12815712	6.983110e-02	1
ZNF154	680410	849	-50	265188	67956	111636	3	1	1	36	32	8263416	6.983751e-02	1
FMO3	395042	1004	-11	326088	84924	416808	2	1	2	9	6	3416532	6.989288e-02	1
EPN3	1532661	200	20	367248	119364	362880	3	0	0	22	40	15814848	6.990981e-02	1
TEC	253162	404	42	399840	95088	840420	2	1	1	34	43	20020308	6.991487e-02	1
RUNDC1	1507064	201	26	356328	112896	342468	1	0	0	42	29	21389172	6.991716e-02	1
RPL22	627248	240	31	82068	18984	145908	1	0	1	8	29	4976748	7.010172e-02	1
MAPKAP1	850799	475	38	327348	83160	951048	4	0	1	0	1	1034208	7.013457e-02	1
CMPK1	257134	210	7	141624	36540	222768	3	0	1	12	15	4595220	7.017885e-02	1
PEG3	NaN	NaN	NaN	884604	224448	369432	6	1	0	50	155	58197132	7.022125e-02	1
LEFTY1	924499	239	8	212016	68964	143136	1	0	0	50	66	23715972	7.022172e-02	1
BHLHE23	821863	447	61	125580	45780	0	2	0	0	50	66	22578024	7.034869e-02	1
BPGM	388879	392	23	156576	42000	132300	1	0	0	10	15	6610296	7.038354e-02	1
OR2A25	222080	812	-11	179424	55440	35280	2	1	0	20	18	5907048	7.039532e-02	1
HMGCS1	504216	449	20	316680	86268	489888	1	0	1	50	49	24416952	7.046758e-02	1
MTX1	1801444	194	32	271404	88704	307692	3	0	0	1	0	438732	7.047335e-02	1
CACYBP	176818	828	4	143472	34692	256032	1	0	0	18	24	8000160	7.051291e-02	1
DBR1	190056	464	9	333396	85680	336924	2	2	1	10	15	5860932	7.055953e-02	1
DOK7	547964	412	46	306600	81732	99792	3	0	1	21	38	13408332	7.059619e-02	1
NUP155	339666	151	25	858816	228816	1608264	3	1	0	11	7	8642088	7.069460e-02	1
C15orf40	452169	683	19	205128	55944	257544	1	0	1	30	64	23481360	7.073885e-02	1
RAB25	2005405	213	39	127680	38136	409752	2	0	0	13	25	8906772	7.080056e-02	1
SH3BGRL	137219	NaN	-22	71736	18228	126000	1	0	0	50	87	30020256	7.086051e-02	1
CIC	790787	299	37	912156	323904	535500	2	0	0	7	2	3562356	7.096039e-02	1
EFNA2	2214581	234	29	125832	38976	29988	1	0	0	50	82	19478676	7.099941e-02	1
INO80	950881	181	41	956928	255444	1633716	3	1	2	10	12	6297396	7.102142e-02	1
MINPP1	470910	190	25	302652	79380	166068	2	0	1	20	47	16784628	7.104038e-02	1
CALHM2	542721	170	51	186144	59808	110376	1	0	0	18	23	8427468	7.110827e-02	1
SOX14	85683	880	-2	139356	43848	41580	2	0	0	50	80	27992748	7.112489e-02	1
SGIP1	116994	601	-8	506520	144396	1519308	4	3	3	29	40	18758628	7.118561e-02	1
CEACAM4	1249321	499	27	145236	46032	266112	2	0	0	31	45	17912916	7.121085e-02	1
RGS8	650082	702	23	129528	33768	476028	1	0	0	3	2	2258928	7.124091e-02	1
ADNP	386595	367	36	662256	174636	348012	3	0	0	21	26	16739856	7.128402e-02	1
CCNB1	420987	273	30	261828	74340	497448	1	0	0	20	32	14216328	7.138609e-02	1
GNG11	228127	480	-12	46032	10920	75600	1	0	0	50	58	26661012	7.145971e-02	1
C11orf16	548433	243	21	277116	82740	189252	3	1	0	50	48	24405276	7.152983e-02	1
GPS2	1911735	206	36	204540	54012	482328	1	0	1	32	39	16465344	7.153414e-02	1
FKBP4	495532	443	28	282660	74172	427896	3	0	0	33	37	19237680	7.154767e-02	1
ALG13	124127	NaN	20	739368	183456	819252	3	1	2	44	47	24211740	7.159430e-02	1
BIRC2	463959	312	15	378504	96516	337932	2	0	1	19	25	11392080	7.167313e-02	1
FAM54A	283639	240	15	235368	63504	223020	1	1	0	50	59	23970828	7.169460e-02	1
USP28	169458	534	10	665448	174216	1336356	5	0	1	1	1	1740984	7.173908e-02	1
IL11RA	731413	298	51	252336	80052	673596	3	0	0	15	7	5866980	7.176664e-02	1
TFAP4	944378	161	33	203280	59052	253512	3	0	2	34	43	19150236	7.212206e-02	1
GAB4	156217	639	-95	345156	98616	405720	2	1	0	20	18	5815908	7.212241e-02	1
DOK6	50550	968	-4	207060	50988	353556	3	3	2	3	12	2206260	7.221058e-02	1
RG9MTD3	489340	453	23	198744	48972	345996	1	0	0	17	17	7262976	7.222963e-02	1
CDKN2AIP	235218	163	16	338268	102984	141120	3	0	0	50	46	22006488	7.228147e-02	1
TOR3A	345937	301	4	238560	67368	291060	3	0	0	7	10	6457164	7.240376e-02	1
QSOX2	936497	244	40	415044	124992	537264	2	0	1	29	66	21586488	7.253194e-02	1
C1QTNF2	197614	469	27	190764	61992	102312	1	0	0	50	69	26811288	7.254803e-02	1
AVPR1A	250995	521	-32	245196	72576	91728	2	1	0	50	73	25642680	7.257127e-02	1
MORN3	743586	194	50	151704	35532	177408	1	1	0	50	81	20910624	7.261441e-02	1
ALDH2	691258	242	44	312732	90972	464184	3	0	1	10	19	6341748	7.275445e-02	1
PRDM2	68342	892	25	1038408	286356	624960	4	3	2	31	43	14994252	7.276012e-02	1
PEX19	891852	358	25	186564	47796	442512	2	0	0	32	45	20367648	7.277170e-02	1
SLC44A5	178229	935	-21	474432	120540	1126188	3	2	1	23	37	14922852	7.292817e-02	1
FBXO41	536944	452	20	503916	169428	258804	3	2	0	24	26	11611740	7.293953e-02	1
NEK3	397134	432	30	320796	77616	297360	1	0	0	50	46	29287188	7.303447e-02	1
