gene	bin
CD200R1	2485
CHCHD4	2056
COPB1	7592
ZDHHC19	2859
CRYBG3	2417
DCBLD2	2421
LRRC15	2852
FAM43A	2853
KLF6	6988
TPRA1	2551
TMEM42	2195
UROC1	2545
SLC31A1	6861
SLC31A2	6861
ERICH6	2653
NUDT16	2566
COL6A6	2562
GRK7	2613
FAM172BP	2433
TMEM207	2834
METTL6	2061
ADK	7269
TAMM41	2045
IL17RE	2037
RTP1	2819
IQCF1	2225
GLYCTK	2227
PPM1M	2227
C3orf49	2279
SNTN	2279
SYNPR	2277
LSMEM2	2218
RPL32P3	2559
H1-8	2559
OCIAD2	3084
SCLT1	3428
C4orf33	3429
SMIM43	3395
PABPC4L	3450
CORT	41
MAP3K8	7106
ADAD1	3398
ZFP42	3695
LIN54	3222
SPATA18	3085
COX4I1	10120
FAM241A	3354
TMPRSS11B	3157
GNPDA2	3065
SPATA4	3641
CPEB2	2928
EVC2	2889
ARL9	3105
AASDH	3104
PDCL2	3100
C4orf36	3240
ADM	7573
PACRGL	2954
TRAM1L1	3376
ENPP6	3678
SLC9B2	3313
SETD9	3937
IL31RA	3933
EMB	3908
SLCO6A1	4132
C5orf47	4458
PPARGC1B	4347
MROH2B	3885
EGFLAM	3872
PRRC1	4247
NADK2	3863
UGT3A1	3862
CAPSL	3862
COX6A1	8622
JMY	4028
C5orf58	4441
COX6A2	9942
ZNF474	4223
CCDC127	3705
ADORA1	756
COX6B1	10917
OR2Y1	4484
UBE2QL1	3734
C5orf49	3740
ATPSCKMT	3751
CMBL	3751
POU5F2	4094
DNAJC21	3857
AFAP1L1	4345
GRPEL2	4346
TMEM171	4001
TMEM174	4001
LSM11	4384
POC5	4013
GPR151	4333
STARD4	4175
WDR36	4173
ZNF300P1	4353
NUDCD2	4410
COX6C	6285
UBLCP1	4391
ACOT12	4038
SOWAHA	4271
SHROOM1	4271
C5orf24	4280
COX7A1	10919
ADAT2	5090
COX7A2	4784
RIPPLY2	4823
IRAK1BP1	4800
CLVS2	4996
TAAR1	5040
COX7B	11858
STXBP5	5107
ADORA2A	11445
COX7C	4062
COX8A	7787
NCOA7	5009
HINT3	5010
PACRG	5177
B3GAT2	4765
SDHAF4	4764
COX10	10198
CD109	4778
RAET1E	5119
PM20D2	4846
SRSF12	4845
COX11	10331
C6orf141	4685
HUS1B	4488
COX15	7380
CP	2646
CPA1	5737
CPA2	5737
TMEM270	5494
CPA3	2645
OR9A2	5793
LLCFC1	5792
TMEM139	5794
NOBOX	5795
ADORA2B	10205
CPB1	2645
ZNF786	5816
CPB2	8796
CPD	10236
COL26A1	5609
PRSS37	5788
SSMEM1	5736
C7orf57	5421
CPE	3591
SVOPL	5773
LRGUK	5753
ASB10	5822
CLDN4	5494
CLDN3	5494
PRSS58	5789
CLDN7	10168
MPLKIP	5385
CPM	8388
SSC4D	5500
C7orf31	5320
CPN1	7381
ASZ1	5678
CPN2	2852
CLDN23	5887
CPOX	2420
ZNF572	6400
CPS1	1848
GOT1L1	6018
CIBAR1	6257
CPT1A	7806
VPS37A	5923
CPT2	219
NDUFAF6	6263
TMEM68	6086
ABRA	6316
LYPD2	6482
CR1	774
NKX2-6	5952
TMEM71	6435
SGCZ	5908
ADHFE1	6135
UBXN2B	6098
CR1L	774
PXDNL	6067
GPAT4	6034
UNC5D	6005
LETM2	6020
CR2	773
DCAF4L2	6230
RALYL	6216
HGSNAT	6041
RNF183	6861
CRABP1	9728
NACC2	6963
C9orf116	6961
CARNMT1	6694
CRABP2	547
C9orf57	6681
C9orf85	6680
CFAP95	6670
LCN8	6966
DIPK1B	6966
CRAT	6933
PTRH1	6928
PIP5KL1	6928
TAF1L	6638
CREB1	1835
ATF2	1687
PTPDC1	6778
ANKRD19P	6772
CREBBP	9844
ARID3C	6646
RPP25L	6646
C9orf131	6648
OR13C5	6822
OR13C8	6822
OR13C3	6822
OR13C4	6822
OR13F1	6822
OR1L8	6904
OR1N2	6904
OR1N1	6904
CREBL2	8152
DBH-AS1	6952
CREM	7126
SLITRK4	12120
SPANXN3	12120
MAGEC3	12112
BEND2	11635
PASD1	12153
DCAF12L1	12050
DGKK	11774
CRH	6134
MAP2K4P1	11842
DNAAF6	11968
PWWP3B	11963
FAM199X	11954
AMER1	11807
CRHBP	4018
APOOL	11889
HDX	11886
FUNDC1	11753
ADGRG4	12091
PTCHD1	11658
PPP4R3C	11676
MAGEB10	11678
DCAF8L1	11679
CRHR2	5346
VENTXP1	11672
OTUD6A	11831
UPRT	11849
MAGEE2	11851
CRIP1	9493
MAGEB16	11715
FOXR2	11791
CRIP2	9493
GAB3	12163
PNCK	12160
ZFP92	12159
ACTRT1	12057
GPR119	12067
PAGE3	11790
CRK	10143
RBMXL3	12003
DOCK11	12016
CRKL	11434
AAMP	1884
ADORA3	478
CRMP1	2890
RPS4Y2	12203
CRP	561
KRTAP13-1	11347
TCP10L	11357
HAPLN1	4048
RNF113B	9033
MUC17	5607
ASB11	11622
ASB5	3641
ASB6	6936
ASB7	9823
ASB8	8297
ASB9	11622
PISRT1	2601
MYL6B	8331
MYO3B	1665
RNF32	5844
APOBEC3D	11509
S100A16	534
CHODL	11289
CRX	10964
SELENOM	11474
NEK7	734
ZFP28	10998
ACTRT2	8
GATA5	11264
SLC32A1	11155
C20orf96	11007
BPIFA2	11131
ZBTB46	11270
WFDC3	11188
GCNT7	11236
NOL4L	11128
CBLN4	11233
CTCFL	11240
TRIM69	9577
MROH8	11148
CRY1	8562
SAMD10	11271
ABHD16B	11270
CCM2L	11126
BRI3BP	8641
SOGA1	11147
TLDC2	11147
RIMS4	11183
SUN5	11130
MACROD2	11070
DYNLL2	10345
TMEM37	1442
UBE2F	1973
ADAMTS14	7254
NRSN1	4594
SMCR5	10211
CRY2	7736
RPL10L	9226
TRPM6	6693
KRT72	8316
SRXN1	11009
ROMO1	11142
NEURL2	11188
LINC00261	11110
ZSWIM3	11188
WFDC10A	11187
BANF2	11087
NANP	11123
LINC00266-1	11272
DEFB127	11007
SCP2D1	11092
ISM1	11067
WFDC6	11187
C20orf173	11141
LINC00028	11124
RIPOR3	11209
CST11	11114
DEFB129	11007
ZNF280B	11437
SIRPA	11015
PABPC5	11908
SREK1	3979
RBBP8NL	11264
CNBD2	11143
CRYAA	11406
STK35	11016
R3HDML	11181
DCANP1	4283
ADPRH	2516
CRYAB	7994
CRYBA1	10231
CRYBA2	1887
CRYBA4	11455
CRYBB1	11455
CRYBB2	11449
CRYBB2P1	11449
CRYBB3	11448
CRYGA	1837
CRYGB	1837
PARP1	857
CRYGC	1837
CRYGD	1837
MIB2	3
DUSP19	1724
SLC34A3	6968
ITLN2	566
RAB40A	11952
ASB15	5707
ASB14	2250
ASB12	11807
CRYGS	2816
CRYM	9909
ACSM6	7360
SAMD8	7273
CRYZ	317
LIPJ	7331
CFL1P1	7327
TRUB1	7449
PARP4	8698
MPP7	7095
CS	8332
FRMPD2	7155
VTI1A	7438
MAPK14	4624
DYDC1	7295
EIF5AL1	7294
HECTD2	7344
FGFBP3	7346
C10orf82	7457
CACUL1	7467
CSE1L	11202
SYT9	7560
LDLRAD3	7690
PSMA8	10536
CSF1	470
C11orf40	7548
OR52I2	7548
OR51E1	7548
XRRA1	7831
CSF1R	4349
UBQLNL	7552
MUC15	7647
LOC143666	7533
C11orf94	7736
FAM76B	7921
SESN3	7918
PIWIL4	7916
CSF2	4268
ARHGAP42	7943
KBTBD3	7967
CWF19L2	7973
POGLUT3	7978
CSF2RB	11500
LAYN	7992
TTC36	8024
CSF3	10270
SPINDOC	7786
CSF3R	145
PLEKHA7	7603
SPTY2D1	7611
TMEM86A	7611
OR10A5	7558
OR2AG1	7558
DNHD1	7556
PRICKLE1	8271
AMDHD1	8512
SLC2A14	8134
CSH1	10369
BCDIN3D	8304
ALG10B	8253
CSH2	10368
GLIPR1L2	8418
RFLNA	8638
ZNF664	8637
LINC00477	8206
ETFRF1	8209
CSHL1	10369
CPNE8	8254
TMEM120B	8627
CFAP251	8628
GLT1D1	8659
TSPAN19	8462
BEST3	8391
E2F7	8425
SOCS2-AS1	8501
CEP83-DT	8505
CSK	9712
KRT80	8314
A2ML1	8137
A2M-AS1	8138
KICS2	8367
CSN1S1	3164
C12orf60	8162
FBXL14	8106
CSN2	3165
RAD9B	8577
PHETA1	8581
LINC00934	8617
LINC00410	9000
CSN3	3166
FAM216B	8781
LACC1	8786
LINC00330	8791
LINC00343	9068
ST13P4	8815
B3GLCT	8728
CSNK1A1	4346
LINC00239	9477
PPP1R13B-DT	9486
RDH12	9321
ADAM21P1	9332
GSC	9444
SERPINA12	9443
PRIMA1	9439
MIPOL1	9184
CSNK1D	10446
PPP1R36	9306
SLC38A6	9290
CSNK1E	11506
ARMH4	9277
FRMD6-AS1	9249
ABHD12B	9245
LOC145474	9338
PTGR2	9348
FAM161B	9348
LRRC74A	9362
CSNK1G2	10793
ISM2	9364
CEP128	9378
MDP1	9125
TTC7B	9425
LRFN5	9203
CSNK1G3	4229
PWAR1	9504
TERB2	9578
CSNK2A1	11008
C2CD4A	9655
LYSMD4	9819
FAM81A	9643
GCOM1	9635
LOC145783	9631
C15orf65	9625
PGPEP1L	9816
LINC00924	9799
DRAIC	9689
LOC145845	9544
C15orf61	9680
C15orf32	9786
HAPLN3	9770
MESP2	9774
CSNK2A2	10000
TMCO5A	9549
SPATA8	9806
NRG4	9717
LINC00052	9764
ADRA1D	11025
ZSCAN29	9573
TTBK2	9570
CDAN1	9570
SLC38A8	10112
VWA3A	9910
ZFP90	10047
VCAN	4047
CARMIL2	10043
KCTD19	10042
CMTM4	10039
CMTM2	10039
BEAN1	10038
TEKT5	9875
NCAN	10861
RNF151	9837
PRR35	9831
FBXL16	9831
SSTR5-AS1	9833
C16orf92	9937
GSG1L	9934
CSPG4	9716
SLC22A31	10135
IL34	10054
ZNF597	9843
BICDL2	9841
TMED6	10051
FRG2DP	9945
CSRP1	749
FLJ30679	10123
LINC02135	10122
ZNF785	9938
ZNF688	9938
PRSS36	9940
C16orf89	9850
DNAAF8	9848
CSRP2	8424
MGAT5B	10424
TOM1L2	10212
TEPSIN	10442
B3GNTL1	10449
RBFOX3	10434
CD300LF	10415
CD300LD-AS1	10414
DNAH2	10170
RTN4RL1	10146
TCAM1P	10368
SLC25A10	10444
SLC47A2	10215
CDRT15	10199
CFAP52	10178
CCDC42	10174
PIK3R6	10175
ODF4	10173
C17orf50	10257
SLFN13	10255
SLC35G3	10254
UNC45B	10254
CD300LG	10286
CST1	11115
KIF18B	10291
RUNDC1	10283
EME1	10310
ADRA1B	4394
CST2	11115
TMEM199	10227
PROCA1	10229
DHRS13	10229
KCTD11	10168
LINC00974	10277
CST3	11115
NOTUM	10445
TMC8	10430
WIPF2	10271
KRT25	10274
KRT10-AS1	10274
CST4	11115
CST5	11116
STARD6	10667
C18orf25	10630
CCBE1	10690
CBLN2	10750
CST6	7796
SLC25A52	10563
DSG4	10561
AQP4-AS1	10540
ANKRD29	10525
APCDD1	10498
CSTA	2528
LINC00526	10474
CSTB	11408
VSIG10L	10978
C19orf84	10978
SPACA6	10980
ZNF480	10982
ZNF534	10983
ZNF578	10983
ERVV-1	10985
SMIM17	10999
C19orf18	11004
ZNF418	11004
ZNF417	11004
ZNF548	11002
PPM1N	10955
CSTF1	11235
KLC3	10954
IGSF23	10951
LYPD4	10942
ILF3-DT	10826
ZNF560	10821
TMEM190	10993
HIPK4	10936
TMC4	10990
CSTF2	11943
TPM3P9	10987
ZNF524	10994
ZNF784	10994
ZNF563	10833
SPC24	10828
KASH5	10970
CSTF3	7677
DACT3	10959
SIX5	10956
IGFL2	10957
ZNF420	10923
ZNF565	10919
NLRP4	10995
ZNF542P	10997
ZNF582	10997
ZNF583	10997
FAM98C	10928
CAPN12	10930
DPY19L3	10903
ADRA1A	5966
LGALS16	10933
TTC9B	10936
TICAM1	10805
CIRBP-AS1	10790
ZNRF4	10807
ZNF599	10913
FAM187B	10915
CILP2	10862
PROSER3	10918
LINC00906	10887
ZNF558	10819
CDC42EP5	10991
LINC00662	10882
ZNF98	10872
NKX2-5	4455
ZNF738	10868
ZNF714	10867
ZNF681	10878
C19orf25	10791
ATP8B3	10792
LINC00905	10848
DIRAS1	10796
ZNF555	10796
ZNF569	10924
ZNF570	10924
SYT6	489
C1orf74	784
CREB3L4	536
C1orf127	43
BROX	843
MRPL20-AS1	2
SAMD13	359
C1orf52	364
PHF13	24
CIART	520
TLCD4	408
UBE2U	269
CTBS	360
SLC35F3	891
LOC148696	775
CTBP1	2872
ACTG1P25	755
PTPRVP	752
ANKRD35	516
FAM163A	649
B3GALNT2	898
CTBP2	7495
MFSD4A	767
PM20D1	768
GCSAML	950
GCSAML-AS1	950
SLC30A7	434
CCDC27	12
ZNF436-AS1	91
CTF1	9939
KNCN	190
MOB3C	190
GLIS1	220
CCN2	5037
LELP1	533
RC3H1	623
MGC27382	333
DCDC2B	126
ZNF362	131
LDC1P	123
DCST1	540
CTH	297
CNIH3	850
LINC01341	947
MANEAL	151
IL23R	282
NTMT2	606
FAM78B	588
CTLA4	1818
SHISA4	751
EXOC8	880
TRIM67-AS1	879
PDIK1L	101
BNIPL	523
CLDN19	173
CFAP57	175
C1orf210	175
CCDC24	179
BTBD19	182
CCDC17	186
LRRC71	548
CTNNA1	4298
SRARP	61
CTNNA2	1314
RNF187	867
CHIAP2	477
PYHIN1	557
SPATA45	798
FAM71A	797
ADIG	11155
GTSF1L	11179
CTNS	10152
WFDC5	11185
APCDD1L-DT	11245
GNAS-AS1	11247
PRNT	11027
LINC00654	11031
SHLD1	11032
CTNNB1	2179
NOL4L-DT	11129
COMMD7	11129
BPIFB4	11131
LSM14B	11262
LIPI	11273
AANAT	10422
ADRA2A	7431
CTNND1	7761
ABCC13	11273
LCA5L	11388
IGSF5	11390
SIK1	11407
CTNND2	3755
LINC00479	11399
UMODL1-AS1	11401
SLC9B1	3312
XKR3	11422
LINC00895	11429
AIFM3	11434
ZDHHC8P1	11441
C22orf15	11443
HSCB	11464
CCDC117	11464
HORMAD2	11470
DUSP18	11473
MORC2-AS1	11474
C22orf42	11479
CTPS1	165
ENTHD1	11512
DNAJB7	11517
CHADL	11519
MEI1	11521
PHETA2	11522
NFAM1	11524
PNPLA5	11530
PRR34-AS1	11540
CDPF1	11541
GTSE1-DT	11541
CTRB1	10071
CKAP2L	1413
SATB2-AS1	1799
LINC01102	1389
SMYD1	1349
C2orf15	1365
CTRL	10045
SILC1	981
OTOS	1983
COPS9	1983
OR6B3	1983
COMMD1	1236
PROM2	1354
ANKAR	1754
FBXO41	1288
TTC30B	1698
GPAT2	1355
ITPRIPL1	1356
CTSB	5901
FAM117B	1813
CTSD	7538
TCF23	1078
LOC150935	1982
GAREM2	1074
PUS10	1232
LINC01963	1874
LINC00309	1246
ADRA2B	1355
KANSL1L	1846
PLB1	1084
CTSG	9127
ZSWIM2	1741
ZNF385B	1707
LINC01107	1976
LINC02610	1975
ARL6IP6	1585
METTL21A	1835
CCNYL1	1835
CTSH	9730
KLHL23	1663
SULT1C2P1	1405
PPP1R1C	1719
SGO2	1803
C2CD6	1808
SLC38A11	1641
CCDC140	1902
SLC23A3	1888
CTSK	522
LINC00608	1887
GPBAR1	1884
MYADML	1108
LRATD1	1021
RMDN2	1127
CTSL	6751
GDF7	1049
SLC16A14	1938
LINC01907	1940
LINC00471	1944
GCSIR	1941
MSL3P1	1954
ASPRV1	1273
WDSUB1	1615
UPP2	1609
LBX2-AS1	1293
GPR155	1684
TTC14	2790
DTX3L	2529
TAFA4	2302
SGO1	2083
PP2D1	2082
EFHB	2082
LINC00635	2462
PPM1L	2699
WDR49	2730
CTSLP8	6752
LRRC34	2740
CPNE9	2036
DPPA2	2469
CCDC80	2484
BTLA	2483
CTSO	3549
CCDC12	2204
MB21D2	2845
PPP4R2	2322
ADRA2C	2883
CTSS	522
XXYLT1	2855
RNF38	6654
GLIPR2	6653
LINC00691	2101
C3orf22	2546
SLC66A1L	2684
ZCWPW2	2120
CTSW	7796
CMC1	2120
NEK10	2115
LINC02877	2666
CCDC50	2838
PYDC2	2839
SPICE1	2488
CMTM8	2138
NUDT16L2P	2566
CTSZ	11247
CCDC13	2185
NCBP2AS2	2863
LINC02085	2435
FGD5	2059
CUX1	5610
CIDECP1	2037
CNTN4	2001
CX3CR1	2170
IGSF11	2513
TEX55	2514
ZNF827	3502
CXADR	11288
SH3D19	3526
NFXL1	3079
NIPAL1	3080
PAQR3	3204
SHISA3	3054
LINC01618	3088
SCFD2	3089
MGAT4D	3479
WWC2-AS2	3673
ZNF595	2867
LINC01085	2924
FAM218A	3590
JAKMIP1	2891
CYB5A	10759
THAP6	3189
ODAPH	3189
KLB	3041
FAM53A	2873
PPM1K	3246
C4orf45	3562
TRMT44	2902
ADRB1	7445
RASGEF1B	3216
DAB2IP	6900
SLC38A9	3932
MGC32805	4224
SLC36A2	4355
SPINK13	4341
CREBRF	4454
CEP120	4228
SLC25A48	4285
TMEM167A	4045
MBLAC2	4079
TMEM161B	4069
CYB561	10367
SRFBP1	4222
JAKMIP2-AS1	4337
PLEKHG4B	3705
CYBA	10132
ZMAT2	4306
C5orf38	3716
IRX2	3716
BTNL9	4485
CYBB	11722
ARSK	4103
FAM81B	4102
TTC23L	3857
LOC153684	3894
CCDC112	4192
PPP1R2B	4380
FAM71B	4381
PRELID2	4329
SH3RF2	4330
PLAC8L1	4331
CYLC1	11884
RNF145	4390
CYLC2	6815
LOC153910	5086
ZC2HC1B	5092
ADRB2	4343
CYLD	9966
SNRNP48	4519
CNKSR3	5140
RAET1L	5120
SAMD3	5029
LINC01312	5046
SLC2A12	5047
LINC01010	5049
MBOAT1	4576
HDGFL1	4587
PNLDC1	5164
RNF217	5005
NKAIN2	5000
KHDC3L	4776
CYP1A1	9712
CFAP206	4838
LINC01600	4497
CYP1A2	9712
BVES-AS1	4916
LOC154449	5210
CCDC167	4630
CYP1B1	1128
RUNDC3B	5549
ABCA13	5422
BMT2	5657
PRSS3P2	5791
CLEC2L	5777
FMC1	5777
AMOT	11992
CYP2A6	10938
VKORC1L1	5466
AMOTL1	7917
LINC00689	5855
FEZF1-AS1	5701
IQUB	5706
C7orf77	5712
KCTD7	5469
CYP2A7	10938
LINC02903	5639
ADRB3	6018
TMEM213	5774
GIMAP8	5819
CRYGN	5823
ZNF425	5816
LOC155060	5816
ZNF746	5817
CYP3A7	5602
SLC2A7	35
AMZ1	5222
CYP2A13	10939
METTL27	5494
VPS37D	5493
RBM33	5840
AGR3	5283
CYP2B6	10939
CYP2B7P	10938
CYP2C19	7358
CYP2C8	7359
CYP2C9	7359
GRK2	7801
CYP2C18	7358
CYP2D7	11522
CYP2D6	11522
GRK3	11450
CYP2F1	10939
LOC157273	5890
CYP2J2	250
PEBP4	5948
CDCA2	5961
TMEM65	6397
LINC00964	6399
RDH10	6166
BAALC-AS2	6299
ANKRD46	6287
ESCO2	5971
FBXO16	5974
CYP3A4	5602
MIR124-1HG	5892
LRATD2	6407
CFAP418	6264
VPS13B	6281
TDRP	5857
ERICH1	5857
CYP3A5	5602
SLC7A13	6223
TDH	5899
TMEM74	6324
FAM91A1	6394
C8orf48	5906
MCMDC2	6137
CLVS1	6112
NKX6-3	6034
KCNU1	6012
SBSPON	6165
CYP4A11	191
CAMSAP1	6962
LINC02907	6960
ADSL	11515
CYP4B1	191
LINC00032	6614
LINGO2	6617
NXNL2	6754
C9orf163	6965
MAMDC4	6967
LCN6	6966
AK8	6948
CYP7A1	6099
OR1Q1	6905
TTLL11	6901
RASEF	6730
CYP8B1	2186
TTC39B	6559
FAM201A	6664
TRMT10B	6660
TTC16	6928
LINC02603	6778
FAM120AOS	6775
SAXO1	6576
CYP11A1	9711
LINC00475	6769
FREM1	6557
KIAA2026	6517
SPAAR	6652
ATP8B5P	6650
ZNF483	6854
CYP11B1	6483
SHOC1	6854
KIAA1958	6858
TSTD2	6790
LOC158434	6785
LOC158435	6785
PRUNE2	6701
CYP11B2	6483
CBLL2	11653
CSAG1	12158
FMR1NB	12138
USP27X-DT	11772
FAAH2	11797
ZXDB	11799
CYP17A1	7394
ADAM3A	6024
FAM47A	11707
MOSPD2	11620
ARHGAP36	12070
RIBC1	11782
AKAP14	12022
CYP19A1	9606
RHOXF1	12023
NKAPP1	12023
MAGEB6	11671
CXorf65	11836
AWAT1	11832
AWAT2	11831
ZDHHC15	11850
USP51	11791
H2BW1	11954
ADSS2	937
CXorf38	11736
PABIR2	12086
PABIR3	12086
CYP24A1	11225
RBMY2EP	12205
USP54	7266
CYP26A1	7351
NKX2-3	7379
CYP27A1	1886
SLC35G1	7354
CYP27B1	8338
CYP51A1	5569
CFAP58	7400
SLC5A12	7648
DEUP1	7910
AARS1	10053
AP2A1	10972
DAB1	236
PATE1	8057
DAB2	3877
C11orf65	7977
DACH1	8910
LDHAL6A	7610
C11orf42	7555
DAD1	9119
KRT19P2	8507
TMTC2	8451
CLEC12A	8140
CLECL1	8139
CD55	773
TMTC3	8476
C12orf50	8475
ALDH1L2	8553
LMNTD1	8211
DAG1	2215
DENND5B	8237
DGKA	8331
TAMALIN	8314
DGKB	5270
SLC5A8	8535
PPTC7	8578
CCDC63	8579
CCDC60	8617
DGKG	2814
DGKH	8778
CCDC122	8786
GPR180	9017
DGKQ	2870
AP2A2	7535
DAO	8570
STOML3	8764
DAP	3753
FAM71D	9318
TMEM229B	9319
ACTN1-DT	9327
SYNE3	9447
CLEC14A	9189
DAPK1	6750
FITM1	9125
REM2	9120
TMEM30B	9292
DAPK3	10801
MDGA2	9227
SAMD15	9364
NOP9	9126
EML5	9416
DARS1	1507
CFAP161	9740
TBC1D21	9709
DNAAF4	9625
CSNK1A1P1	9543
OTUD7A	9524
SPRED1	9550
ODF3L1	9716
PGBD4	9533
DAZL	2067
ADAL	9573
EXD1	9563
FSIP1	9556
ZFPM1	10132
ADAD2	10113
AP1B1	11467
BRINP1	6889
ITPRIPL2	9901
C16orf82	9931
DBH	6952
DBI	1441
ZFP1	10071
ANKFN1	10337
MARCHF10	10363
MFSD6L	10175
SLFN5	10255
NAGS	10287
RETREG3	10281
TMEM92	10310
PHOSPHO1	10305
RHBDL3	10241
TRPV3	10152
SLC16A11	10167
FBXO39	10166
KRT28	10274
ZNF519	10513
C18orf54	10667
ELOA3P	10633
DBN1	4472
DBP	10967
DBT	431
ZNF836	10982
ZNF610	10983
ZNF600	10984
ZNF320	10985
ZNF497	11006
ZNF550	11002
ZNF296	10953
DEDD2	10944
ZNF846	10822
OR7D2	10820
AP2B1	10256
DCC	10658
ZNF579	10994
ZNF791	10834
ZNF564	10833
ZNF709	10833
ZNF433	10831
ZNF114	10966
ZNF567	10921
ZNF383	10923
ZNF781	10925
EID2	10933
ZNF780B	10935
PRR22	10809
LGI4	10915
SYNE4	10919
ECI1	9838
ZNF676	10872
ZNF100	10870
ZNF540	10925
DENND2C	491
DCK	3169
GBP6	382
DCN	8490
PLPPR5	425
FNDC7	465
DENND1B	731
DCTD	3672
TDRD5	648
TOR1AIP2	650
ACE	10367
CALML6	4
IFNLR1	93
CYP4Z2P	191
CITED4	164
SLC25A3P1	220
LEXM	226
SPRR4	532
KANK4	260
SASS6	431
DCT	9016
SDE2	856
CNST	946
DCTN1	1292
FAM43B	78
AP1G1	10057
HFM1	391
PAQR7	100
DCX	11986
TTC24	547
CCDC185	846
UBL4B	471
DDB1	7776
WFDC13	11187
APCDD1L	11245
DDB2	7742
LRRN4	11033
CST13P	11114
TTLL9	11126
DDC	5432
AKR1C1	6993
AKR1C2	6993
CABP7	11468
TMPRSS6	11501
APOBEC3H	11509
WBP2NL	11522
GADD45A	285
DAW1	1928
LONRF2	1370
DDIT3	8337
AEBP1	5404
DDOST	79
CCDC138	1407
ADGRF3	1074
TEX44	1944
OXER1	1149
TOGARAM2	1087
DDT	11444
FAM171B	1740
C1QL2	1440
DDX1	1025
UBXN2A	1064
DDX3X	11739
DDX5	10371
CLEC4F	1277
DQX1	1293
DDX6	8025
PARP15	2529
SPTSSB	2701
DMXL1	4209
DNAJB8	2555
GPR156	2519
DHX8	10285
XIRP1	2170
RNF168	2861
TLE5	10797
DHX9	663
CHST13	2546
DDX10	7979
DDX11	8236
PRICKLE2	2281
KBTBD12	2552
SPATA5	3401
BBS12	3400
DHX15	2972
DECR1	6240
DCLK2	3522
ADGRA3	2962
TRIM60	3590
FREM3	3493
MMAA	3501
TIGD2	3250
RASSF6	3180
RBM46	3543
SGMS2	3334
MIER3	3937
CDC20B	3929
CRISP1	4687
UGT3A2	3862
TENT2	4030
DEFB1	5885
DCP2	4181
NIM1K	3894
DES	1889
LIX1	4110
ZNF366	3998
CFD	10788
FAM151B	4034
DFFA	41
PRSS35	4821
LCA5	4803
DFFB	12
TIMM8A	11945
OLIG3	5063
TXLNB	5070
DACT2	5202
C6orf118	5189
GALNTL5	5825
DDX53	11657
ZNF679	5462
RNF133	5703
CDC14C	5425
THAP5	5638
CCDC71L	5629
PKD1L1	5420
GIMAP7	5819
BHLHA15	5596
BMPER	5359
GSDME	5319
PER3P1	5250
ZNF800	5724
CNBD1	6226
COCH	9156
SLC30A8	6363
COL22A1	6463
SNX31	6288
TMEM64	6243
IDO2	6026
STKLD1	6951
KCNV2	6502
OLFML2A	6914
TMEM252	6665
QSOX2	6964
GLIS3	6507
ZNF883	6860
TENT5D	11869
SPIN3	11796
FAM47B	11711
SUPT20HL2	11662
TCEANC	11615
ZCCHC12	12018
ARX	11665
FAM170B	7159
TMEM273	7159
FUT11	7267
OIT3	7264
LINC02870	7528
PWWP2B	7528
LINC00858	7313
SSBP4	10858
CLEC4C	8134
ACTL10	11133
DHX36	2670
HTR3C	2805
GIMAP1	5820
GPHA2	7792
S100Z	4018
COMMD6	8929
NUDT10	11778
ADAMTS15	8079
ADAMTS16	3728
ADAMTS17	9820
ADAMTS18	10080
COX7B2	3074
GSX2	3094
KCNG3	1148
ZNF525	10987
ZNF431	10868
ZNF721	2868
ANKRD24	10802
ZNF384	8130
ADAMTS19	4256
ABHD11-AS1	5494
ASXL1	11128
SYNPO2	3383
SPACA4	10967
RHOV	9562
DSTNP2	8131
LOC171391	7534
ZNF675	10877
CLYBL	9039
FAM9A	11592
FAM9B	11593
FAM9C	11612
SPTSSA	9172
PTCRA	4655
POLR3H	11520
ABHD3	10516
DGUOK	1290
DHCR7	7818
DHCR24	226
DHFR	4034
AFG3L1P	10138
DHFRP3	1331
DHODH	10058
DHPS	10834
CYB5R3	11524
NQO1	10052
DIAPH1	4310
AFM	3180
DIAPH2	11924
DIO1	222
DIO2	9377
DIO3	9476
DKC1	12163
DLAT	7994
DLD	5634
DLG1	2863
AFP	3180
DLG2	7870
DLG3	11833
DLG4	10168
DLST	9353
DLX1	1673
DLX2	1673
DLX3	10308
DLX4	10308
DLX5	5591
AGA	3647
DLX6	5591
DMBT1	7484
DMD	11693
SARDH	6952
DMP1	3243
DNM1	6930
ACAN	9769
DMPK	10956
DMRT1	6494
DMWD	10956
DNA2	7244
DNAH5	3767
DNAH6	1339
DNAH8	4636
DNAH9	10187
DNASE1	9844
DNASE1L1	12162
DNASE1L2	9838
DNASE1L3	2254
DNASE2	10835
DYNC1H1	9478
AGL	430
DYNC1I1	5585
DYNC1I2	1672
DYNC1LI2	10039
DNM2	10826
DNMT1	10824
TRDMT1	7048
DNMT3A	1070
DNMT3B	11129
DNTT	7365
DOCK1	7505
DOCK2	4438
DOCK3	2220
DOK1	1293
DPAGT1	8027
ABAT	9866
DPEP1	10137
DPH1	10146
DPH2	179
DPP4	1627
DPP6	5836
DPT	600
DPYD	417
DPYS	6305
DPYSL2	5965
DPYSL3	4337
AGRP	10043
DR1	400
SLC26A3	5634
DRD1	4465
DRD2	8001
DRD3	2491
DRD4	7533
DRG2	10213
